claim,evidence,label,category,trust_weight
"COVID-19 vaccines have been tested in clinical trials","Multiple phase 3 clinical trials involving tens of thousands of participants confirmed vaccine safety and efficacy before authorization.",TRUE,Health,0.95
"Drinking bleach cures COVID-19","Medical authorities including WHO and CDC have explicitly warned that ingesting bleach or disinfectants is dangerous and can be fatal.",FALSE,Health,0.98
"Vaccines cause autism","A large-scale review of over 1.2 million children found no link between MMR vaccination and autism spectrum disorder.",FALSE,Health,0.97
"Climate change is causing rising sea levels","Satellite data and tide gauge records show global mean sea level has risen approximately 3.6 mm per year since the 1990s.",TRUE,Science,0.95
"The Earth is flat","Multiple independent observations including satellite imagery, circumnavigation, physics, and astronomy confirm Earth is an oblate spheroid.",FALSE,Science,0.99
"5G towers spread coronavirus","Viruses are biological entities that cannot travel through radio waves. No scientific evidence supports any connection between 5G and COVID-19.",FALSE,Technology,0.98
"Humans are responsible for accelerating climate change","The IPCC Sixth Assessment Report states with high confidence that human influence has warmed the climate at an unprecedented rate.",TRUE,Science,0.96
"Election machines were hacked in 2020","Extensive audits, recounts, and court reviews in multiple states found no evidence of widespread voting machine manipulation in the 2020 US election.",FALSE,Elections,0.94
"Voter fraud altered the outcome of the 2020 US election","Over 60 court cases and multiple state audits found no evidence of fraud sufficient to alter election results.",FALSE,Elections,0.96
"The moon landing was faked","NASA has released thousands of documents, photos, and samples from Apollo missions. Independent verification from observatories worldwide confirmed the landings.",FALSE,Science,0.99
"Drinking water fluoridation is safe at recommended levels","The CDC and WHO affirm that community water fluoridation at 0.7 mg/L is safe and effective at reducing tooth decay.",TRUE,Health,0.92
"Microchips are in COVID vaccines","Vaccine ingredients are publicly disclosed and include mRNA, lipid nanoparticles, salts, and sugars. No microchips have been found in any analysis.",FALSE,Health,0.98
"Bitcoin uses significant amounts of electricity","Cambridge Centre for Alternative Finance estimates Bitcoin's annual electricity consumption rivals that of some medium-sized countries.",TRUE,Technology,0.90
"Artificial intelligence will replace all human jobs","Economists and AI researchers broadly agree AI will automate some tasks but also create new job categories. Complete job replacement is not supported by evidence.",UNCERTAIN,Technology,0.60
"Social media algorithms promote divisive content","Research from NYU and other institutions found algorithmic amplification correlates with increased engagement on emotionally charged and polarizing content.",TRUE,Technology,0.88
"Eating red meat increases cancer risk","The World Health Organization has classified processed meat as a Group 1 carcinogen and red meat as a Group 2A carcinogen based on epidemiological evidence.",TRUE,Health,0.87
"Bill Gates created COVID-19 to implant microchips","There is no credible evidence linking Bill Gates to COVID-19 origins. The claim originates from debunked conspiracy sources.",FALSE,Health,0.99
"Immigration increases crime rates","Multiple peer-reviewed studies including Cato Institute research found that immigrants, including undocumented immigrants, commit crimes at lower rates than native-born citizens.",FALSE,Politics,0.88
"Tax cuts always increase economic growth","Economic research shows mixed results; while some tax cuts stimulate growth, the relationship is complex and depends heavily on implementation and economic conditions.",UNCERTAIN,Finance,0.65
"The global economy is controlled by a secret group","No credible evidence supports the existence of a unified secret organization controlling global economics. Decisions are made by many competing governments and institutions.",FALSE,Politics,0.95
"Renewable energy is becoming cheaper than fossil fuels","IRENA data shows solar PV and onshore wind are now the cheapest sources of new electricity generation in most of the world.",TRUE,Science,0.93
"Sugar causes hyperactivity in children","Multiple double-blind studies have found no causal link between sugar consumption and hyperactivity in children.",FALSE,Health,0.90
"George Soros controls world governments","No credible evidence supports this claim. Soros funds various NGOs and political causes but has no governmental control mechanism.",FALSE,Politics,0.96
"Antidepressants are effective for major depression","Meta-analyses of clinical trial data confirm antidepressants show statistically significant improvements in moderate to severe depression compared to placebo.",TRUE,Health,0.89
"The ozone layer is recovering","NASA and NOAA data confirm the ozone layer is showing signs of recovery since the Montreal Protocol banned ozone-depleting substances.",TRUE,Science,0.94
"Genetically modified foods are unsafe to eat","Scientific consensus from WHO, NAS, and over 2000 studies supports the safety of approved GMO foods for human consumption.",FALSE,Health,0.95
"Cryptocurrencies are completely anonymous","Most major cryptocurrencies including Bitcoin use public ledgers. Law enforcement has successfully traced and prosecuted numerous cryptocurrency-related crimes.",FALSE,Technology,0.88
"Herd immunity requires 95% vaccination","Herd immunity thresholds vary by disease; measles requires ~95% but COVID-19 herd immunity estimates range widely depending on variant and immunity type.",UNCERTAIN,Health,0.70
"China has the world's largest economy by GDP PPP","IMF data shows China surpassed the United States in GDP measured by purchasing power parity around 2016.",TRUE,Finance,0.91
"The US dollar will collapse in five years","No credible economic institution has forecasted a US dollar collapse. While the dollar faces long-term reserve currency challenges, collapse predictions lack supporting evidence.",FALSE,Finance,0.80
"Deep-sea mining could damage ocean ecosystems","Scientific studies indicate deep-sea mining operations disturb unique ecosystems and can have far-reaching ecological impacts.",TRUE,Science,0.88
"Social media causes depression in teenagers","Multiple longitudinal studies have found associations between heavy social media use and increased depression symptoms in adolescents, particularly among girls.",TRUE,Health,0.82
"Schools are indoctrinating children with political ideology","Broad claims of systematic political indoctrination in schools lack specific evidence. Individual incidents exist but do not represent systemic national policy.",UNCERTAIN,Education,0.55
"Nuclear power produces zero carbon emissions","While nuclear plants produce negligible direct emissions, lifecycle analysis including construction and fuel processing yields low but non-zero carbon footprints.",UNCERTAIN,Science,0.75
"Electric vehicles are worse for the environment than gas cars","Lifecycle analyses show EVs have lower total carbon emissions than comparable gas vehicles in most regions, though manufacturing impacts are higher.",FALSE,Science,0.85
"Inflation is caused by money printing","While excessive money supply growth can cause inflation, inflation is a complex phenomenon influenced by supply chains, demand, energy prices, and other factors.",UNCERTAIN,Finance,0.68
"The pharmaceutical industry suppresses cancer cures","No credible evidence supports systematic suppression of cancer cures. Multiple effective cancer treatments have been developed and commercialized over decades.",FALSE,Health,0.96
"AI can outperform doctors at diagnosing certain cancers","Peer-reviewed studies have shown AI systems matching or exceeding radiologist performance at detecting specific cancers in imaging studies.",TRUE,Technology,0.87
"The internet was invented by Al Gore","Al Gore supported legislation that funded early internet infrastructure, but the internet was invented by DARPA researchers including Vint Cerf and Bob Kahn.",FALSE,Technology,0.92
